City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
311,sarmiento,-45.5882,-69.07,287.04,38,100,7.88,AR,2023-11-11
312,gazli,40.1333,63.45,286.26,31,100,4.34,UZ,2023-11-11
313,kangaba,11.9333,-8.4167,298.12,29,100,0.94,ML,2023-11-11
314,fort st. john,56.2499,-120.8529,275.09,64,100,6.69,CA,2023-11-11
315,al jawf,29.5,38.75,294.29,38,28,3.84,SA,2023-11-11
316,rugaji,57.0,27.1333,277.43,89,100,2.48,LV,2023-11-11
317,port hueneme,34.1478,-119.1951,288.32,67,0,2.06,US,2023-11-11
318,luanda,-8.8368,13.2343,297.29,89,100,5.54,AO,2023-11-11
319,inhambane,-23.865,35.3833,294.07,76,0,3.39,MZ,2023-11-11
320,kiunga,-6.1219,141.2906,305.68,53,94,0.78,PG,2023-11-11
321,moscow,55.7522,37.6156,277.29,82,88,3.87,RU,2023-11-11
322,svetlyy,54.675,20.1347,282.05,87,100,2.32,RU,2023-11-11
323,hartsville,34.374,-80.0734,286.34,67,100,5.14,US,2023-11-11
324,enewetak,11.3474,162.3373,301.81,76,88,7.8,MH,2023-11-11
325,tarawa,1.419,172.984,304.2,74,75,3.09,KI,2023-11-11
326,made,-7.1174,112.3915,306.13,51,20,1.36,ID,2023-11-11
327,newman,37.3138,-121.0208,287.22,55,100,2.67,US,2023-11-11
328,kailua-kona,19.6406,-155.9956,299.56,80,100,3.09,US,2023-11-11
329,san patricio,28.017,-97.5169,288.48,90,100,4.55,US,2023-11-11
330,lake monticello,37.9232,-78.3347,277.13,87,9,1.23,US,2023-11-11
331,kapoeta,4.7717,33.5903,299.03,50,89,4.73,SS,2023-11-11
332,san francisco de la paz,14.9,-86.2,294.69,96,100,0.97,HN,2023-11-11
333,changyon,38.2508,125.0961,276.77,53,35,7.54,KP,2023-11-11
334,bontang,0.1333,117.5,302.78,66,94,2.39,ID,2023-11-11
335,jinxiang,27.4327,120.6062,289.04,88,100,5.41,CN,2023-11-11
336,punta cana,18.5818,-68.4043,300.02,83,40,5.14,DO,2023-11-11
337,nogliki,51.8333,143.1667,269.45,82,92,8.94,RU,2023-11-11
338,yueyang,29.3333,113.0919,281.65,79,100,5.52,CN,2023-11-11
339,nuku'alofa,-21.1333,-175.2,296.34,83,75,8.75,TO,2023-11-11
340,devonport,-41.1667,146.35,295.66,46,44,1.79,AU,2023-11-11
